SP.ID,SP.DATE,HAY.FAT,HAY.WAC5,HAY.WAC24,HAY.N,HAY.RESISTANCE,HAY.STRUCTURE,HAY.HEMI,HAY.CELLULOSE,PH2.CELLULOSE,PH2.ID,PH2.DATE
248,02/26/2020,1.30,3.14,3.22,1.35,4.82,0.58,28.56,36.16,20.18,67,03/27/2020
255,03/03/2020,1.40,3.20,3.35,1.64,3.66,0.57,29.87,32.91,21.65,75,04/09/2020
265,03/13/2020,1.20,3.27,3.41,1.50,4.27,0.59,28.40,37.49,21.26,83,04/20/2020
271,03/19/2020,1.60,3.14,3.21,1.45,4.01,0.58,29.97,33.84,20.84,87,04/23/2020
276,03/27/2020,1.40,3.08,3.15,1.63,3.78,0.57,28.09,33.66,27.35,92,04/30/2020
289,04/08/2020,1.40,3.12,3.20,1.62,4.26,0.57,28.65,32.97,25.94,103,05/14/2020
305,04/10/2020,1.30,3.07,3.19,1.58,4.07,0.57,26.73,35.00,22.97,115,05/29/2020
306,04/10/2020,1.30,2.96,3.20,1.19,5.25,0.59,29.81,36.37,22.78,116,05/30/2020
313,05/04/2020,1.00,2.93,3.28,1.10,5.79,0.61,30.04,38.80,22.46,121,06/05/2020
318,05/08/2020,1.30,3.08,3.19,1.59,4.13,0.56,27.52,33.70,22.33,125,06/10/2020
319,05/13/2020,1.30,2.90,3.18,1.42,4.93,0.57,28.37,33.63,22.65,131,06/18/2020
327,05/18/2020,1.20,3.16,3.25,1.31,4.96,0.58,28.03,37.32,22.90,133,06/19/2020
329,05/21/2020,1.40,3.16,3.26,1.57,4.15,0.56,28.70,32.44,25.28,137,06/25/2020
331,05/21/2020,1.20,3.21,3.37,1.18,5.63,0.59,28.49,37.46,26.76,138,06/25/2020
335,05/26/2020,1.40,3.05,3.23,1.23,4.96,0.58,28.12,35.88,24.97,146,07/07/2020
343,06/03/2020,1.30,2.77,3.03,1.70,4.55,0.57,27.96,34.44,24.67,147,07/08/2020
345,06/05/2020,1.20,3.19,3.21,1.29,5.36,0.59,27.35,38.09,27.79,162,07/27/2020
367,06/22/2020,1.40,3.21,3.33,1.41,4.43,0.56,27.90,33.41,27.58,173,8/8/2020
379,07/03/2020,1.20,3.15,3.07,1.75,3.31,0.55,25.31,33.44,27.69,174,8/10/2020
380,07/06/2020,1.30,3.08,3.28,1.28,5.73,0.59,28.67,36.83,27.93,179,8/17/2020
388,07/14/2020,1.30,3.11,3.18,1.50,4.41,0.56,27.80,33.89,24.29,180,8/17/2020
389,07/16/2020,1.30,3.10,3.15,1.56,3.76,0.57,27.75,34.36,24.29,186,8/24/2020
398,07/20/2020,1.20,3.22,3.24,1.49,4.50,0.57,27.46,35.12,24.47,190,8/31/2020
402,7/30/2020,1.30,3.19,3.21,1.61,3.80,0.57,27.08,36.00,25.31,192,8/31/2020
403,8/5/2020,0.90,2.98,2.97,1.70,3.86,0.56,24.12,35.02,25.74,199,9/9/2020
411,8/7/2020,1.10,3.09,3.34,1.13,6.44,0.60,28.82,39.72,26.77,200,9/10/2020
412,8/10/2020,1.20,3.16,3.19,1.46,4.53,0.58,27.88,35.36,26.76,203,9/16/2020
0,8/12/2020,1.10,6.04,7.40,0.94,2.77,0.58,34.89,33.38,25.59,207,9/19/2020
419,8/14/2020,1.40,3.11,3.02,2.00,2.78,0.54,26.59,29.20,26.34,208,9/21/2020
420,8/18/2020,1.20,3.05,3.15,1.52,4.57,0.57,27.82,34.75,24.94,214,9/28/2020
428,8/26/2020,1.50,3.23,3.11,1.93,2.61,0.54,27.39,29.16,24.19,225,10/12/2020
429,8/28/2020,1.10,3.10,3.05,1.67,3.81,0.56,26.14,34.17,26.52,238,10/26/2020
442,9/10/2020,1.30,3.10,3.20,1.29,4.72,0.58,28.25,36.28,25.02,239,10/27/2020
6,9/22/2020,1.20,2.99,3.02,1.59,3.51,0.55,27.03,32.98,24.68,245,11/3/2020
14,9/29/2020,1.40,2.94,3.25,1.21,4.93,0.58,28.95,35.55,27.30,246,11/4/2020
15,10/2/2020,1.40,3.04,3.21,1.52,4.46,0.57,28.23,35.06,25.98,248,11/6/2020
19,10/6/2020,1.20,3.13,3.24,1.64,3.88,0.56,27.19,33.97,25.60,249,11/9/2020
20,10/8/2020,1.40,2.88,3.07,1.74,3.87,0.57,27.38,34.57,26.63,253,11/13/2020
25,10/15/2020,1.50,3.14,3.28,1.30,5.13,0.58,29.24,34.90,26.24,255,11/15/2020
27,10/20/2020,1.60,2.90,3.15,1.51,4.23,0.57,29.06,33.82,23.09,278,12/11/2020
54,11/3/2020,1.20,3.13,3.31,1.14,5.33,0.58,28.54,36.86,23.73,281,12/15/2020
60,11/5/2020,1.60,2.88,3.24,1.42,4.90,0.59,30.07,35.93,22.80,282,12/17/2020
