SP.ID,SP.DATE,PRESP.FAT,PRESP.WAC5,PRESP.WAC24,PRESP.N,PRESP.RESISTANCE,PRESP.STRUCTURE,PRESP.HEMI,PRESP.CELLULOSE,PH2.CELLULOSE,PH2.ID,PH2.DATE
248,2/26/2020,1.1,7.71,9.21,1.14,2.27,0.56,36.26,29.92,20.18,67,3/27/2020
255,3/3/2020,1.3,7.99,10,0.98,1.98,0.57,39.37,29.93,21.65,75,4/9/2020
265,3/13/2020,1,8.29,10.4,1.19,2.33,0.56,39.55,27.68,21.26,83,4/20/2020
271,3/19/2020,1.4,10.27,13.2,0.4,1.89,0.59,46.81,26.36,20.84,87,4/23/2020
276,3/27/2020,1.3,9.1,12.08,0.37,2.23,0.58,43.88,28.28,27.35,92,4/30/2020
289,4/8/2020,1,6.52,8.07,0.88,2.79,0.56,34.62,30.33,25.94,103,5/14/2020
305,4/10/2020,0.9,6.09,6.9,1.07,3.21,0.61,30.68,39.59,22.97,115,5/29/2020
306,4/10/2020,1.3,9.73,11.98,0.87,1.82,0.57,40.78,29.93,22.78,116,5/30/2020
313,5/4/2020,1.3,8.4,11.1,0.66,2.11,0.57,43.68,26.84,22.46,121,6/5/2020
318,5/8/2020,1.2,8.53,10.16,1.32,2.19,0.57,38.3,29.11,22.33,125,6/10/2020
319,5/13/2020,1.2,6.9,7.95,1.04,2.79,0.61,31.92,39.74,22.65,131,6/18/2020
327,5/18/2020,1.3,9.15,10.9,0.94,2.09,0.58,37.54,32.94,22.9,133,6/19/2020
329,5/21/2020,1.2,7.46,9.23,0.92,2.15,0.55,38.77,27.16,25.28,137,6/25/2020
331,5/21/2020,1.2,7.7,9.87,0.67,2.41,0.55,41.13,26.13,26.76,138,6/25/2020
335,5/26/2020,0.9,4.44,5.61,0.81,3.11,0.53,29.11,30.37,24.97,146,7/7/2020
343,6/3/2020,1.2,8.61,10.86,0.53,2.26,0.58,39.23,33.16,24.67,147,7/8/2020
345,6/5/2020,0.9,6,6.71,1.38,2.85,0.55,27.99,31.95,27.79,162,7/27/2020
367,6/22/2020,1.4,10.09,13.17,0.55,1.98,0.58,47.35,23.49,27.58,173,8/8/2020
379,7/3/2020,1.1,7.66,9.77,0.72,2.46,0.56,37.59,29.54,27.69,174,8/10/2020
380,7/6/2020,1,6.47,7.45,1.3,2.24,0.52,32.19,24.98,27.93,179,8/17/2020
388,7/14/2020,1.2,7.07,8.98,0.82,2.45,0.58,38.14,32,24.29,180,8/17/2020
389,7/16/2020,1.2,7.64,9.8,0.69,2.07,0.56,39.12,28.84,24.29,186,8/24/2020
398,7/20/2020,1.1,6.91,8.11,1.19,2.2,0.54,32.85,28.98,24.47,190,8/31/2020
402,7/30/2020,1.2,7.99,9.95,0.91,2.16,0.56,38.72,28.67,25.31,192,8/31/2020
403,8/5/2020,1.2,8.47,10.64,0.87,2.29,0.58,40.22,30.48,25.74,199,9/9/2020
411,8/7/2020,1.1,8.05,9.58,0.89,2.62,0.6,38.13,34.58,26.77,200,9/10/2020
412,8/10/2020,1.1,7.73,9.7,0.96,2.31,0.56,38.25,29.13,26.76,203,9/16/2020
0,8/12/2020,1.1,6.04,7.4,0.94,2.77,0.58,34.89,33.38,25.59,207,9/19/2020
419,8/14/2020,0.9,6.67,7.77,1,2.8,0.57,32.35,33.73,26.34,208,9/21/2020
420,8/18/2020,1,7.05,8.6,0.93,2.93,0.59,35.29,35.31,24.94,214,9/28/2020
428,8/26/2020,0.8,6.95,8.02,1.02,2.89,0.56,31.06,32.04,24.19,225,10/12/2020
429,8/28/2020,1.3,14,17.53,0.86,1.85,0.58,54.38,17.9,26.52,238,10/26/2020
442,9/10/2020,1.3,8.72,10.76,1.26,2.07,0.55,43.95,23.19,25.02,239,10/27/2020
6,9/22/2020,1.3,10.75,13.55,0.81,2.03,0.6,45.6,28.9,24.68,245,11/3/2020
14,9/29/2020,1.1,7.9,9.48,1.09,2.21,0.57,36.4,30.01,27.3,246,11/4/2020
15,10/2/2020,1.3,11.29,14.75,0.43,1.96,0.58,48.94,22.41,25.98,248,11/6/2020
19,10/6/2020,1.3,7.37,9.42,0.84,2.18,0.57,40.18,29.21,25.6,249,11/9/2020
20,10/8/2020,1.3,8.1,9.9,0.87,2.26,0.58,39.94,31.15,26.63,253,11/13/2020
25,10/15/2020,1.1,5.62,6.91,0.84,2.78,0.56,33.69,31.03,26.24,255,11/15/2020
27,10/20/2020,0.9,5.46,6.51,0.95,3.01,0.57,30.31,34.93,23.09,278,12/11/2020
54,11/3/2020,0.9,5.96,7.08,0.88,2.91,0.57,30.51,35.72,23.73,281,12/15/2020
60,11/5/2020,1.1,6.72,8.41,0.75,2.58,0.57,35.09,32.34,22.8,282,12/17/2020
