P.Bunker,P.NH3,PH2.DM.TVN,PH2.DATE
40,1.192,0.335,2/25/2020
41,1.139,0.270,2/26/2020
46,1.231,0.110,03/03/2020
61,0.688,0.050,03/20/2020
75,0.261,0.000,04/08/2020
76,1.341,0.080,4/9/2020
77,1.217,0.000,04/10/2020
79,1.142,0.000,4/14/2020
81,0.939,0.010,04/16/2020
82,0.715,0.000,04/18/2020
85,1.346,0.000,04/22/2020
90,1.007,0.000,04/28/2020
95,0.582,0.000,05/05/2020
102,0.985,0.000,05/12/2020
103,0.714,0.000,05/14/2020
104,0.929,0.060,5/15/2020
105,0.870,0.000,05/18/2020
138,0.394,0.010,06/26/2020
144,1.048,0.000,07/03/2020
145,0.770,0.000,07/06/2020
146,1.648,0.000,07/07/2020
161,1.264,0.000,07/25/2020
180,0.738,0.000,8/18/2020
186,0.525,0.000,8/24/2020
187,0.721,0.000,8/25/2020
188,0.648,0.000,8/27/2020
192,0.447,0.000,8/31/2020
193,0.858,0.000,9/2/2020
194,1.174,0.000,9/3/2020
198,0.959,0.000,9/11/2020
199,0.593,0.000,9/10/2020
207,0.492,0.000,9/21/2020
208,0.769,0.000,9/22/2020
209,0.920,0.000,9/22/2020
212,0.962,0.000,9/23/2020
213,0.690,0.000,9/25/2020
214,0.903,0.030,9/28/2020
219,1.106,0.000,9/29/2020
223,0.692,0.000,10/5/2020
226,0.932,0.050,10/8/2020
227,0.720,0.100,10/12/2020
228,0.979,0.170,10/14/2020
231,0.973,0.040,10/15/2020
232,0.630,0.013,10/19/2020
233,0.753,0.090,10/20/2020
234,1.122,0.033,10/21/2020
235,0.745,0.020,10/22/2020
239,0.856,0.040,10/22/2020
240,1.564,0.010,10/28/2020
243,0.985,0.040,10/29/2020
244,0.427,0.010,11/2/2020
257,0.846,0.000,11/3/2020
260,0.926,0.150,11/17/2020
261,0.495,0.050,11/20/2020
265,0.743,0.000,11/23/2020
265,1.008,0.157,11/26/2020
267,0.493,0.140,11/30/2020
268,1.229,0.050,11/30/2020
279,1.395,0.050,12/14/2020
280,1.263,0.070,12/15/2020
282,0.732,0.170,12/17/2020
283,0.758,0.060,12/18/2020
287,1.033,0.010,12/23/2020
288,0.911,0.050,12/24/2020
289,1.238,0.030,12/26/2020
290,1.167,0.000,12/28/2020
292,1.111,0.230,12/30/2020
